"","maxgroup","value.IV","mean","sd","p"
"otu.1138","3",22.5,"23.6","9.15",0.4651
"otu.1139","3",7.7,"9.4","1.46",1
"otu.1141","2",36.9,"24.9","9.82",0.1174
"otu.1144","1",13.1,"16.4","7.22",0.5709
"otu.1145","2",10.4,"22.8","9.1",0.8946
"otu.1146","2",16.1,"12.3","6.66",0.2583
"otu.1148","3",13.5,"18.2","8.53",0.6337
"otu.1149","3",14.7,"13.2","6.75",0.4441
"otu.1150","1",37.4,"25.9","9.69",0.1174
"otu.1151","2",33.2,"15.1","7.7",0.024
"otu.1152","3",30.8,"13.6","6.87",0.0404
"otu.1153","3",15.4,"9.9","5.97",0.3201
"otu.1154","2",31.2,"17","7.65",0.0638
"otu.1156","2",72.3,"25.6","9.83",4e-04
"otu.1157","2",21.4,"18.7","8.24",0.2951
"otu.1161","1",42.4,"32.2","11.47",0.185
"otu.1162","2",11.1,"9.4","1.46",0.2803
"otu.1163","1",29.7,"20.7","8.48",0.1916
"otu.1164","2",10.1,"16.7","7.56",0.7467
"otu.1165","3",14.1,"21.7","8.62",0.8258
"otu.1166","2",34.4,"41.6","7.78",0.8054
"otu.1167","3",23.2,"25.4","9.99",0.5827
"otu.1169","2",21.8,"19.1","7.4",0.2913
"otu.1170","2",18.6,"21.7","8.72",0.5631
"otu.1173","3",44.4,"30.3","7.4",0.0502
"otu.1174","2",10.9,"18","7.46",0.7313
"otu.1175","2",24.1,"17.1","7.72",0.1612
"otu.1176","1",33.9,"27.1","10.19",0.2454
"otu.1177","3",5.4,"10.7","5.59",0.877
"otu.1178","3",38,"18.1","8.23",0.0272
"otu.1179","2",36.2,"36","6.68",0.4187
"otu.1180","2",10.9,"14.9","6.14",0.6671
"otu.1183","3",20.3,"29.6","8.43",0.8972
"otu.1188","3",15.4,"10","5.92",0.3223
"otu.1189","3",17.9,"21.6","9.17",0.5769
"otu.1191","3",5.8,"13.6","6.55",0.9348
"otu.1192","3",7.7,"9.4","1.47",1
"otu.1194","3",30.4,"32.8","7.57",0.5563
"otu.1196","2",24.5,"26.6","8.89",0.5175
"otu.1197","3",33.2,"34","6.81",0.4803
"otu.1198","3",6.7,"11.6","4.85",1
"otu.1199","3",16.4,"18.1","8.2",0.4525
"otu.1200","2",26.6,"29.4","7.42",0.5811
"otu.1203","3",35.5,"37.9","5.72",0.6073
"otu.1205","1",16.6,"24.6","8.93",0.8292
"otu.1206","2",19.5,"13.8","6.54",0.2579
"otu.1207","2",41.9,"31","11.26",0.16
"otu.1208","2",23.4,"24.4","8.79",0.4533
"otu.1211","2",11.4,"17.1","8.1",0.7209
"otu.1215","1",56,"25.9","9.92",0.0126
"otu.1218","2",37.7,"23.8","9.6",0.0844
"otu.1219","2",18,"23.6","8.27",0.7195
"otu.1220","3",13,"15.9","7.56",0.6337
"otu.1222","1",9.4,"14.5","7.47",0.6775
"otu.1223","1",10,"9.4","1.46",0.5915
"otu.1226","3",46.2,"17","7.73",0.007
"otu.1229","3",15.4,"9.9","5.94",0.3223
"otu.1230","2",10.3,"11.6","4.93",0.4387
"otu.1232","3",7.7,"9.4","1.46",1
"otu.1234","3",15.4,"12.1","4.62",0.3119
"otu.1235","3",18,"24.4","8.14",0.778
"otu.1239","2",40.8,"26.5","8.87",0.0726
"otu.1240","2",50.6,"28.6","8.46",0.0194
"otu.1241","1",27.5,"33.1","8.56",0.7141
"otu.1244","2",37.6,"34.2","7.01",0.2633
"otu.1245","3",29.9,"22.4","8.77",0.1878
"otu.1249","2",10.8,"12.3","6.54",0.4719
"otu.1250","3",30.1,"32.9","9.15",0.5455
"otu.1252","3",13.7,"26.2","10.02",0.9284
"otu.1253","1",11.5,"14.5","7.46",0.5961
"otu.1256","2",11,"15.8","7.7",0.7293
"otu.1259","3",14.9,"14.6","6.25",0.4453
"otu.1261","2",38.9,"31.3","7.98",0.1644
"otu.1263","1",10,"9.4","1.47",0.5931
"otu.1264","1",23.8,"27.7","8.07",0.6289
"otu.1265","2",7.8,"10.1","5.97",0.4407
"otu.1266","3",22.1,"18.8","8.31",0.245
"otu.1267","2",18.3,"14.2","7.2",0.1928
"otu.1268","2",5.6,"10.2","6.02",0.7846
"otu.1269","2",40.7,"35.7","6.55",0.2028
"otu.1270","3",13.8,"14.4","6.3",0.5395
"otu.1271","3",15.4,"12.2","4.67",0.3293
"otu.1273","1",42,"34.5","7.06",0.1434
"otu.1274","1",37,"41.3","4.9",0.7944
"otu.1275","3",30.4,"19","8.54",0.104
"otu.1276","3",13.1,"22.1","9.05",0.8084
"otu.1277","3",23.1,"12.3","6.77",0.0956
"otu.1279","2",14,"17.2","7.9",0.5355
"otu.1280","2",36.9,"18","8.11",0.0342
"otu.1281","1",16.5,"20.4","8.8",0.6749
"otu.1282","3",7.7,"9.4","1.46",1
"otu.1285","2",31.8,"30.5","8.23",0.3595
"otu.1286","3",7.7,"9.4","1.46",1
"otu.1287","1",27.6,"29.6","7.52",0.5265
"otu.1288","1",10.9,"15.3","7.21",0.6991
"otu.1290","3",7.7,"9.4","1.46",1
"otu.1291","3",29.3,"24.8","9.88",0.2895
"otu.1292","2",42.3,"19.6","7.99",0.0162
"otu.1295","3",7.7,"9.4","1.47",1
"otu.1296","2",49.1,"30.7","8.61",0.0398
"otu.1300","2",55.6,"22.9","7.8",0.0018
"otu.1303","1",11.4,"16","7.79",0.7083
"otu.1305","3",35.8,"20.8","7.99",0.0578
"otu.1306","2",15.2,"14.3","7.22",0.4205
"otu.1307","2",15.5,"23","7.74",0.8568
"otu.1308","2",31.3,"14.4","7.31",0.0356
"otu.1309","3",43.8,"25.5","9.82",0.043
"otu.1311","2",12.7,"17.9","8.27",0.7107
"otu.1313","2",35.2,"37.5","8.19",0.5383
"otu.1314","2",17.1,"16.2","7.8",0.3337
"otu.1315","2",20.8,"25.7","8.87",0.6601
"otu.1316","2",26,"26.4","9.98",0.4287
"otu.1319","2",56.4,"31.9","6.98",0.0048
"otu.1323","1",8.8,"17.3","7.84",0.934
"otu.1325","3",7.7,"9.4","1.46",1
"otu.1328","3",46.2,"16.5","7.42",0.007
"otu.1330","2",33.6,"21.7","9.23",0.1174
"otu.1333","3",16.3,"23.4","9.25",0.7467
"otu.1338","2",32,"35.4","7.08",0.6315
"otu.1339","3",19.3,"22.3","9.09",0.5549
"otu.1343","1",10,"9.4","1.46",0.5927
"otu.1344","1",22.2,"19.7","8.81",0.3225
"otu.1345","3",23.1,"29.1","9.65",0.6945
"otu.1346","3",31,"37.8","8.31",0.779
"otu.1347","3",13.6,"14.2","6.45",0.5473
"otu.1348","1",5.4,"9.8","5.91",0.8662
"otu.1351","2",63.8,"27.8","8.68",0.002
"otu.1352","3",27.1,"20","8.7",0.1768
"otu.1354","3",19.2,"18.2","8.3",0.3955
"otu.1356","1",16.2,"27.3","10.23",0.8274
"otu.1357","3",7.7,"9.4","1.47",1
"otu.1358","2",11.1,"9.4","1.46",0.2783
"otu.1359","3",11.7,"15.7","7.44",0.6547
"otu.1361","2",20.4,"22.3","9",0.5551
"otu.1362","3",7.6,"12.3","4.64",1
"otu.1363","2",11.1,"9.4","1.45",0.2813
"otu.1364","1",13.1,"16.6","7.87",0.6557
"otu.1366","3",32.2,"30","10.26",0.3691
"otu.1368","3",38,"26.4","10.09",0.1312
"otu.1370","1",30,"13.7","6.55",0.0402
"otu.1373","2",28.8,"30.4","8.14",0.4981
"otu.1375","2",22.9,"18","7.47",0.2002
"otu.1376","2",11.1,"9.4","1.46",0.2783
"otu.1377","1",31,"30.2","8.26",0.3795
"otu.1378","3",9.7,"17.9","7.28",0.8898
"otu.1379","2",11,"12.4","4.71",0.4539
"otu.1380","3",19.5,"15.4","7.62",0.2535
"otu.1385","3",14.4,"15.7","7.35",0.5657
"otu.1386","3",6.6,"12.1","6.74",0.7578
"otu.1387","3",26.5,"32.4","10.8",0.6545
"otu.1388","2",22.7,"19.3","8.34",0.2989
"otu.1391","1",27.4,"29.8","8.72",0.5371
"otu.1392","3",30.7,"38.3","8.59",0.7996
"otu.1393","1",56.6,"29.5","10.63",0.0152
"otu.1394","1",35.6,"30.8","7.8",0.2304
"otu.1395","1",21.3,"32.3","8.13",0.975
"otu.1396","3",7.7,"9.4","1.47",1
"otu.1398","3",23.1,"12.4","6.53",0.0924
"otu.1399","2",23.2,"21.5","8.94",0.3647
"otu.1400","3",12.4,"14","6.47",0.5503
"otu.1401","2",11.1,"9.4","1.46",0.2783
"otu.1404","3",28.7,"20.4","8.55",0.168
"otu.1405","1",51.3,"30.7","8.48",0.0262
"otu.1406","2",15.3,"13.8","6.96",0.3625
"otu.1410","1",17.7,"21.7","9.11",0.7009
"otu.1412","3",15.4,"12.2","4.6",0.3155
"otu.1416","2",18.2,"14.7","7.45",0.2579
"otu.1417","2",35,"31.4","10.3",0.3067
"otu.1419","3",22.2,"16.9","7.4",0.1442
"otu.1421","3",20.4,"18.7","7.91",0.3727
"otu.1422","3",15.1,"17.8","7.39",0.5409
"otu.1423","3",10,"20.6","9.18",0.9512
"otu.1425","1",10,"9.3","1.47",0.5749
"otu.1426","2",19.4,"19.1","8.25",0.4065
"otu.1431","3",15.4,"12.1","4.71",0.3205
"otu.1435","3",15.2,"16.8","7.64",0.4865
"otu.1436","3",7.7,"12.3","4.6",0.882
"otu.1440","3",15.4,"11.8","5.01",0.3321
"otu.1446","3",15.4,"9.9","5.96",0.3155
"otu.1447","1",7.5,"10.4","5.79",0.6511
"otu.1450","2",42.8,"22.8","8.53",0.0344
"otu.1451","3",12.8,"13.1","6.58",0.4039
"otu.1452","1",30,"13.1","6.66",0.0462
"otu.1453","1",39.3,"15.8","7.57",0.014
"otu.1455","3",11.3,"19.1","8.16",0.8474
"otu.1461","2",50.3,"26.7","8.1",0.0152
"otu.1465","2",30.9,"16","7.67",0.0364
"otu.1466","2",10.7,"14.7","6.22",0.6523
"otu.1467","3",26.8,"32.3","7.18",0.7554
"otu.1468","2",46.1,"28.8","8.83",0.0504
"otu.1469","3",15.4,"12.3","4.61",0.3293
"otu.1472","2",22.2,"10.2","5.9",0.0722
"otu.1474","2",40.3,"31.7","6.75",0.1126
"otu.1476","1",10,"9.4","1.47",0.5931
"otu.1478","3",22.7,"14.2","7.4",0.1178
"otu.1480","3",7.7,"9.4","1.46",1
"otu.1483","2",33.3,"13.7","6.64",0.0174
"otu.1486","2",22.2,"11","5.29",0.0654
"otu.1488","3",30.3,"20.6","7.9",0.1174
"otu.1490","3",7.7,"9.4","1.46",1
"otu.1491","2",8.9,"13.1","6.58",0.5867
"otu.1494","2",17.9,"19.1","7.63",0.4489
"otu.1495","2",8.6,"19.4","8.43",0.963
"otu.1496","2",9.6,"11","5.28",0.4317
"otu.1497","2",39.8,"21.7","7.62",0.0296
"otu.1499","3",29.4,"32.7","11.24",0.5283
"otu.1500","1",15.3,"23.6","8.18",0.8728
"otu.1502","2",11.1,"9.4","1.46",0.2803
"otu.1503","1",10,"9.4","1.46",0.5977
"otu.1504","3",9.4,"17.2","8.33",0.7774
"otu.1507","2",39.5,"19.7","8.59",0.0282
"otu.1508","3",14.9,"17.3","8.22",0.5847
"otu.1509","2",18.5,"21.3","8.47",0.5637
"otu.1511","3",15.4,"10.6","5.61",0.3123
"otu.1512","2",16.3,"17.6","8.32",0.4667
"otu.1513","2",10.9,"18.1","7.48",0.839
"otu.1514","3",11.9,"18.5","8.39",0.6965
"otu.1515","1",16.1,"25.8","8.24",0.94
"otu.1516","1",9.1,"18.7","8.59",0.8948
"otu.1520","3",7.7,"9.4","1.47",1
"otu.1523","2",42.5,"25.8","8.19",0.0436
"otu.1524","2",8.4,"10.3","5.86",0.4393
"otu.1525","1",20,"12","4.82",0.1696
"otu.1526","1",24.6,"20.9","8.94",0.3241
"otu.1527","1",30,"13.2","6.57",0.0396
"otu.1528","1",26.2,"23.2","8.03",0.2863
"otu.1529","3",24.2,"26.4","9.47",0.5083
"otu.1530","3",29.4,"22.3","8.2",0.162
"otu.1532","2",36.2,"21.6","7.64",0.0542
"otu.1533","1",57.3,"23.2","9.54",0.0038
"otu.1536","1",45.8,"26.3","8.47",0.0324
"otu.1538","3",8.9,"16.3","7.78",0.8128
"otu.1541","2",41.6,"21.2","8.13",0.0238
"otu.1545","3",7.7,"9.4","1.46",1
"otu.1546","3",4.9,"10.4","5.79",0.8834
"otu.1549","3",7.7,"9.4","1.46",1
"otu.1550","2",46.6,"22.7","9.13",0.018
"otu.1552","3",7.7,"9.4","1.47",1
"otu.1553","3",7.7,"9.4","1.47",1
"otu.1554","2",13.9,"24.7","9.88",0.9326
"otu.1555","3",16,"26.2","9.91",0.8404
"otu.1556","2",22.9,"20.6","8.55",0.3245
"otu.1557","1",10,"9.4","1.46",0.5915
"otu.1558","3",7.7,"9.4","1.47",1
"otu.1559","2",11.1,"9.3","1.46",0.2747
"otu.1562","1",32.8,"41.7","10.32",0.7852
"otu.1563","1",7,"13","6.63",0.8816
"otu.1565","1",48,"32.1","8.04",0.05
"otu.1566","2",11.1,"9.4","1.46",0.2827
"otu.1567","2",23.5,"30.3","8.26",0.7842
"otu.1571","3",15.4,"11","5.35",0.3173
"otu.1572","3",7.7,"9.4","1.47",1
"otu.1574","1",7.4,"13.1","6.46",0.854
"otu.1575","3",7.7,"9.4","1.47",1
"otu.1576","1",28,"30","8.71",0.5061
"otu.1577","3",31.3,"22.7","8.5",0.145
"otu.1578","2",44.4,"32.9","10.37",0.1374
"otu.1581","1",26.2,"24","8.55",0.3221
"otu.1583","2",32.3,"22.3","8.37",0.1184
"otu.1586","1",8.5,"11.5","5.18",0.7568
"otu.1587","3",15.4,"12.2","4.61",0.3223
"otu.1589","1",56.6,"21.8","9.14",0.0026
"otu.1591","2",22.5,"15.2","7.11",0.157
"otu.1594","2",11.8,"17.4","7.9",0.7728
"otu.1595","2",7.6,"12.3","6.64",0.6903
"otu.1598","1",6.8,"16.9","8.09",0.9648
"otu.1599","2",11.1,"9.4","1.46",0.2803
"otu.1600","1",18.1,"25.1","7.67",0.8402
"otu.1601","1",29.2,"17.4","7.37",0.1068
"otu.1602","1",10,"9.4","1.46",0.5977
"otu.1603","2",12.1,"19.5","8.53",0.808
"otu.1604","2",53.3,"30.1","10.69",0.0306
"otu.1606","1",19.9,"14.6","6.34",0.2422
"otu.1607","3",15.4,"11.8","4.86",0.3195
"otu.1609","2",19.1,"16.8","7.93",0.3049
"otu.1611","2",10.6,"11.9","4.76",0.5207
"otu.1613","1",16.7,"25.7","8.15",0.9124
"otu.1614","2",50.4,"30.3","8.32",0.0278
"otu.1617","2",18.7,"16.5","7.97",0.3027
"otu.1618","1",26.7,"29.1","7.3",0.5571
"otu.1619","3",17.4,"19.1","8.75",0.4865
"otu.1620","2",21.3,"12.4","6.74",0.1488
"otu.1621","2",22.2,"10","5.94",0.0722
"otu.1623","2",11,"12.3","4.66",0.4499
"otu.1625","3",15.4,"11.1","5.44",0.3265
"otu.1626","3",28.7,"22.5","9.72",0.2144
"otu.1627","1",27.4,"27.2","8.39",0.3999
"otu.1628","3",9.5,"16.7","7.45",0.8854
"otu.1629","1",7.7,"13.4","6.54",0.832
"otu.1630","1",10,"9.4","1.46",0.5915
"otu.1631","3",15.4,"11.6","5.13",0.3239
"otu.1632","2",20.9,"27.2","9.63",0.7073
"otu.1633","2",31.3,"15.5","7.44",0.0314
"otu.1634","2",11.1,"9.4","1.46",0.2783
"otu.1635","3",36.6,"25.9","8.3",0.1118
"otu.1636","2",42.8,"23.4","8.11",0.0284
"otu.1637","3",7.5,"14.1","7.26",0.8074
"otu.1639","2",13.3,"13.6","6.71",0.3789
"otu.1640","3",20.5,"19.1","7.46",0.3387
"otu.1641","2",5.9,"13.5","6.61",0.8836
"otu.1642","1",10.2,"14.2","7.25",0.6697
"otu.1644","2",11.1,"9.4","1.46",0.2783
"otu.1645","2",4.9,"14.6","7.56",0.991
"otu.1646","2",22.2,"11","5.38",0.0708
"otu.1647","1",16.4,"21.9","7.86",0.7251
"otu.1648","3",14.9,"13.8","6.5",0.4037
"otu.1649","2",41.1,"17","7.59",0.0118
"otu.1651","3",14.2,"17","7.71",0.5489
"otu.1652","3",7.7,"9.4","1.46",1
"otu.1654","3",20.2,"20.6","8.59",0.4165
"otu.1655","1",24.1,"25.7","8.32",0.5011
"otu.1659","2",59.3,"28.9","10.7",0.0122
"otu.1660","1",20,"11.1","5.36",0.1686
"otu.1666","3",7.7,"9.4","1.47",1
"otu.1667","1",32,"28.6","9.59",0.3083
"otu.1668","2",40.9,"29.9","8.79",0.113
"otu.1669","3",7.7,"9.4","1.47",1
"otu.1674","2",18.5,"20.8","8.05",0.5201
"otu.1675","3",23.1,"12.9","6.67",0.0964
"otu.1677","3",15.4,"10.5","5.75",0.3263
"otu.1679","3",23.1,"12.1","6.66",0.1004
"otu.1680","3",23.1,"13.2","6.59",0.0964
"otu.1681","3",10.9,"17.8","7.55",0.8298
"otu.1682","1",37.5,"25.5","7.9",0.0804
"otu.1683","1",24.7,"28.3","9.84",0.5907
"otu.1685","2",23.4,"26.3","8.41",0.5595
"otu.1686","1",7.9,"13.4","6.61",0.8262
"otu.1688","2",24.7,"31.5","8.13",0.7936
"otu.1689","3",7.7,"9.4","1.47",1
"otu.1690","1",17.3,"20","8.22",0.5567
"otu.1694","3",20.3,"18.9","8.5",0.3487
"otu.1695","3",8.9,"12.4","6.78",0.5881
"otu.1696","3",6.5,"11.9","6.49",0.7556
"otu.1697","1",33.3,"22.5","8.9",0.1174
"otu.1699","2",42,"37.8","6.5",0.2356
"otu.1700","3",7.7,"9.4","1.46",1
"otu.1701","1",9.9,"12.2","4.53",0.6583
"otu.1702","2",11.1,"9.4","1.46",0.2783
"otu.1703","3",34.2,"34.9","8.16",0.4633
"otu.1704","1",10.1,"18.9","8.09",0.9204
"otu.1705","3",34,"26.1","9.05",0.1784
"otu.1706","3",7.7,"9.4","1.46",1
"otu.1707","3",7.7,"9.4","1.47",1
"otu.1710","1",16.1,"20.3","8.42",0.6375
"otu.1716","2",33.3,"13.2","6.58",0.018
"otu.1717","3",7.3,"14.9","6.29",0.9352
"otu.1718","3",69.7,"26","9.44",0.001
"otu.1720","2",11.1,"9.4","1.46",0.2783
"otu.1721","1",19.8,"15.1","6.26",0.2649
"otu.1724","1",19.9,"16.5","7.98",0.3119
"otu.1725","2",21.4,"14.7","6.31",0.2064
"otu.1726","2",23.6,"27.2","7.57",0.6239
"otu.1729","3",7.7,"9.4","1.47",1
"otu.1730","1",12.5,"15.5","7.4",0.6837
"otu.1731","2",30.3,"23","8.67",0.1802
"otu.1732","2",11.8,"19.3","7.67",0.871
"otu.1734","3",7.7,"9.4","1.47",1
"otu.1735","1",33.3,"18.9","8.59",0.075
"otu.1736","1",47.7,"33.4","9.06",0.0796
"otu.1737","1",30,"13.5","6.59",0.044
"otu.1738","1",11.7,"15.2","7.31",0.6469
"otu.1739","1",6.8,"12.5","6.84",0.881
"otu.1740","2",13.3,"19.2","7.51",0.8044
"otu.1741","2",9.9,"11.3","5.22",0.4357
"otu.1742","1",10,"9.4","1.46",0.5985
"otu.1748","1",16.8,"13.6","6.83",0.3265
"otu.1750","2",11.1,"9.4","1.46",0.2815
"otu.1754","2",38.2,"23.3","9.38",0.0788
"otu.1755","2",22.8,"20","8.2",0.2895
"otu.1757","1",14.7,"13.4","6.55",0.2863
"otu.1758","3",19.2,"15.8","7.47",0.2799
"otu.1759","3",7.7,"9.4","1.46",1
"otu.1761","3",11.6,"14","7.14",0.5835
"otu.1762","1",19.8,"21.4","8.42",0.4857
"otu.1763","2",15.1,"13.9","7.09",0.3675
"otu.1764","2",8.3,"15.1","7.46",0.755
"otu.1771","2",17,"15.6","7.45",0.3079
"otu.1772","2",25.1,"18.7","8.08",0.1762
"otu.1773","2",15.4,"23.6","9.42",0.7493
"otu.1774","2",8.3,"13.1","6.58",0.6979
"otu.1777","1",17.3,"24.4","9.03",0.7794
"otu.1781","3",7.7,"9.4","1.46",1
"otu.1782","2",27.4,"20.6","7.77",0.168
"otu.1783","1",10.8,"19.5","7.79",0.9282
"otu.1788","1",26.1,"27.8","8.04",0.5113
"otu.1789","2",11.1,"9.4","1.46",0.2827
"otu.1790","2",20.4,"19","7.42",0.3333
"otu.1791","2",11.1,"9.4","1.46",0.2783
"otu.1794","3",12.2,"12.3","6.6",0.3955
"otu.1796","3",10.3,"19.8","8.14",0.9456
"otu.1797","3",7.7,"9.4","1.47",1
"otu.1798","1",6.9,"12.5","6.5",0.8392
"otu.1799","2",11.1,"9.4","1.46",0.2783
"otu.1800","3",15.4,"10.4","5.7",0.3189
"otu.1801","1",18,"27.7","7.94",0.9514
"otu.1803","2",11.1,"9.4","1.46",0.2865
"otu.1804","2",10.2,"14.2","6.45",0.6101
"otu.1806","2",22.1,"20.6","7.71",0.3327
"otu.1807","2",55.6,"15.4","7.37",6e-04
"otu.1808","2",22.2,"12.1","4.73",0.0728
"otu.1810","3",4.7,"10.3","5.75",1
"otu.1811","3",7.7,"9.4","1.47",1
"otu.1812","3",27.1,"27.7","9.46",0.4333
"otu.1813","3",7.7,"9.4","1.46",1
