"","maxgroup","value.IV","mean","sd","p"
"otu.1817","2",32,"25.1","9.85",0.177
"otu.1818","3",15.4,"11.8","4.9",0.3193
"otu.1819","2",9.9,"14.1","6.42",0.6695
"otu.1821","3",11.4,"21.5","9.05",0.9306
"otu.1822","1",13,"14.4","7.42",0.5039
"otu.1824","2",18,"21.8","7.79",0.6297
"otu.1825","2",16,"21.3","8.95",0.6753
"otu.1827","1",24.7,"25","8.38",0.4225
"otu.1828","3",6.3,"11.5","5.12",1
"otu.1829","3",7.7,"9.4","1.46",1
"otu.1830","3",7.7,"9.4","1.47",1
"otu.1832","2",17.6,"15.4","7.25",0.3101
"otu.1834","2",11.1,"9.4","1.46",0.2783
"otu.1835","1",10,"9.4","1.47",0.5931
"otu.1839","1",20,"12","4.75",0.1686
"otu.1841","2",25.3,"26.7","9.99",0.4947
"otu.1842","1",7.4,"12.7","6.63",0.7848
"otu.1845","3",25.1,"24.1","7.87",0.3599
"otu.1846","1",11.3,"18.9","8.23",0.8482
"otu.1847","2",14.1,"18.3","7.75",0.6345
"otu.1848","3",23.1,"12.5","6.81",0.101
"otu.1849","3",7.7,"9.4","1.47",1
"otu.1850","3",11.1,"17.3","7.92",0.7622
"otu.1851","1",28.6,"19.7","8.06",0.1338
"otu.1852","3",7.7,"9.4","1.46",1
"otu.1853","2",10.9,"12.1","4.63",0.4393
"otu.1854","1",10,"9.4","1.46",0.5915
"otu.1855","2",59.3,"27.1","8.27",0.0032
"otu.1860","3",7.7,"9.4","1.46",1
"otu.1861","1",14,"22.2","8.04",0.8826
"otu.1862","1",9.8,"12","4.63",0.6643
"otu.1863","3",23.1,"12.8","6.7",0.0968
"otu.1864","3",6.1,"11.2","5.25",0.8734
"otu.1865","1",32.5,"23.9","8.44",0.1488
"otu.1870","3",6.6,"15.4","7.23",0.9722
"otu.1871","1",10,"9.4","1.45",0.6045
"otu.1872","3",7.7,"9.4","1.46",1
"otu.1873","2",24.4,"22.7","7.69",0.3335
"otu.1874","2",22.2,"10.2","5.86",0.0736
"otu.1875","2",12.5,"12","6.72",0.4631
"otu.1876","3",14.2,"18.7","8.33",0.6473
"otu.1877","3",7.7,"9.4","1.47",1
"otu.1879","3",15.7,"18.6","8.09",0.5567
"otu.1880","1",30,"14.4","6.57",0.0466
"otu.1881","3",14.3,"13.9","6.52",0.4391
"otu.1882","2",55.7,"30.4","9.19",0.0146
"otu.1883","2",24.2,"16.2","7.74",0.1486
"otu.1888","3",6.6,"12","6.65",0.762
"otu.1889","2",11.1,"9.4","1.46",0.2783
"otu.1891","3",7.7,"9.4","1.46",1
"otu.1896","3",11,"15.7","7.55",0.7143
"otu.1898","2",33.7,"25.6","8.73",0.1658
"otu.1900","2",32.5,"22.1","8.21",0.1116
"otu.1901","1",9.8,"12.1","4.58",0.752
"otu.1902","1",34.7,"23.3","8.21",0.0962
"otu.1903","1",20,"10.1","6.02",0.1702
"otu.1904","2",5.8,"22.6","9.46",0.9984
"otu.1909","2",26.6,"21.5","7.52",0.2098
"otu.1910","1",18.5,"21.3","8.15",0.5463
"otu.1912","1",9.6,"11.9","4.79",0.6499
"otu.1913","1",22,"20.4","8.51",0.3453
"otu.1914","3",12.2,"13","6.52",0.5345
"otu.1915","1",30.3,"34.8","9.6",0.6291
"otu.1917","3",7.7,"9.4","1.47",1
"otu.1923","3",23.1,"14.2","6.43",0.0992
"otu.1924","1",18.6,"21","8.02",0.5369
"otu.1926","2",22.2,"10.1","5.83",0.0716
"otu.1927","3",23.1,"12.5","6.64",0.1002
"otu.1929","2",32.4,"22.9","8.57",0.1346
"otu.1930","2",15.3,"14.6","7.49",0.3607
"otu.1932","1",8.3,"13.4","6.58",0.7449
"otu.1935","2",12.9,"15.4","7.41",0.5225
"otu.1936","3",7.7,"9.4","1.47",1
"otu.1937","3",7.7,"9.4","1.46",1
"otu.1941","1",7.9,"10.7","5.58",0.6595
"otu.1942","3",15.4,"10.9","5.52",0.3255
"otu.1947","2",64.8,"28.1","9.56",0.0018
"otu.1948","2",21.1,"22.8","7.71",0.5073
"otu.1949","2",12.9,"24.2","9.45",0.9266
"otu.1950","2",6.8,"10","5.96",0.4389
"otu.1951","3",26.8,"22.6","8.34",0.2533
"otu.1953","3",14.8,"25","9.56",0.87
"otu.1954","2",29.6,"28.9","7.16",0.3779
"otu.1955","2",6.4,"19.5","8.41",0.9916
"otu.1959","3",17.9,"22.3","8.18",0.6495
"otu.1960","2",12.1,"14.8","7.41",0.5155
"otu.1961","2",26.1,"28.1","8.95",0.5121
"otu.1962","1",11.6,"18.9","8.41",0.7818
"otu.1964","3",7.3,"14.6","7.32",0.8678
"otu.1965","3",10.2,"12.8","6.67",0.5009
"otu.1966","3",30.5,"29.7","10.51",0.4279
"otu.1967","3",17.6,"21.6","8.44",0.6209
"otu.1968","3",15.4,"10.2","6.05",0.3301
"otu.1973","2",40.9,"20","8.58",0.0176
"otu.1974","3",35,"19.1","8.32",0.0558
"otu.1975","3",15.4,"16.9","7.58",0.4907
"otu.1977","2",15.8,"15","7.4",0.4345
"otu.1978","3",35.5,"17.1","7.61",0.0348
"otu.1979","3",7.7,"9.4","1.47",1
"otu.1981","3",18.1,"20.2","7.32",0.5313
"otu.1987","3",43.1,"27","8.37",0.051
"otu.1988","3",15.4,"11.4","5.07",0.3163
"otu.1989","2",23.4,"26.3","7.66",0.5805
"otu.1991","1",11.3,"20.4","8.82",0.9204
"otu.1992","1",30.2,"28.5","8.46",0.3497
"otu.1993","2",29.4,"23.1","9.52",0.204
"otu.1997","2",13.1,"20","8.18",0.8016
"otu.1998","1",37,"20.3","8.42",0.048
"otu.1999","2",43,"26.3","7.81",0.0392
"otu.2000","1",22.8,"20.5","8.97",0.3671
"otu.2001","1",17,"26.5","9.77",0.8412
"otu.2002","2",11.1,"9.4","1.45",0.2813
"otu.2003","1",30,"14.1","6.46",0.0402
"otu.2006","2",11.1,"9.4","1.45",0.2813
"otu.2010","3",18.2,"19.5","7.86",0.4601
"otu.2011","1",17,"16.6","7.47",0.5035
"otu.2018","3",21.7,"14.2","7.38",0.1354
"otu.2020","3",23.3,"23","8.7",0.4061
"otu.2021","2",11.1,"9.4","1.46",0.2783
"otu.2024","3",5.4,"10.8","5.57",0.8854
"otu.2025","3",20,"20.5","8.71",0.3833
"otu.2027","1",10.2,"18.6","8.1",0.882
"otu.2028","3",12,"16.4","7.26",0.6461
"otu.2032","1",26.8,"33.1","7.68",0.7854
"otu.2033","2",11.1,"9.4","1.45",0.2767
"otu.2034","3",35.7,"22.6","9.03",0.096
"otu.2035","2",10.9,"12.1","4.61",0.5265
"otu.2037","2",13.8,"20.4","8.46",0.7606
"otu.2038","1",10,"9.4","1.46",0.5977
"otu.2039","2",16.8,"23.2","8.75",0.7453
"otu.2040","1",18.1,"16.3","7.85",0.3359
"otu.2045","3",15.4,"10.1","6.01",0.3317
"otu.2049","3",17.9,"15.1","7",0.2775
"otu.2050","2",20.3,"12.5","6.58",0.1488
"otu.2051","3",7.7,"9.4","1.46",1
"otu.2053","2",30.5,"17.3","8.04",0.0692
"otu.2054","2",18,"12.6","6.55",0.2176
"otu.2055","1",17.1,"18.3","7.83",0.4721
"otu.2056","2",11.1,"9.4","1.46",0.2827
"otu.2057","3",5.6,"10.9","5.5",0.8874
"otu.2058","1",6.6,"12.5","6.54",0.8746
"otu.2059","1",7.6,"15.3","7.47",0.8476
"otu.2060","2",11.1,"9.4","1.46",0.2783
"otu.2061","3",15.4,"11.5","5",0.3137
"otu.2064","3",5.4,"10.8","5.46",1
"otu.2067","3",18.2,"17.4","8.03",0.3893
"otu.2068","2",15.2,"12.1","6.6",0.2547
"otu.2069","3",15.4,"11.5","5.06",0.3107
"otu.2074","1",7.6,"10.9","5.48",0.7451
"otu.2075","2",51.4,"49.9","9.31",0.4193
"otu.2076","1",20,"10","5.97",0.1626
"otu.2077","2",40,"23.1","8.75",0.0518
"otu.2079","3",30.8,"14.1","7.2",0.0366
"otu.2081","3",15.4,"10.5","5.81",0.3255
"otu.2085","3",7.7,"9.4","1.47",1
"otu.2087","1",10,"9.4","1.46",0.5977
"otu.2088","3",15.4,"12.3","4.68",0.3333
"otu.2091","2",31.1,"24","7.65",0.1564
"otu.2092","1",13.2,"16.3","7.79",0.6663
"otu.2093","2",12.9,"18.9","8.03",0.7277
"otu.2094","2",11.1,"9.4","1.46",0.2815
"otu.2095","3",30.8,"13.7","6.64",0.0294
"otu.2096","3",13.3,"12.9","6.51",0.4065
"otu.2097","2",21.8,"13.9","6.52",0.1554
"otu.2099","3",30.8,"14.9","7.55",0.0572
"otu.2100","3",16.1,"16.7","7.95",0.4613
"otu.2103","3",15.4,"11.9","4.79",0.3155
"otu.2104","2",14.6,"13.7","6.88",0.4169
"otu.2105","1",7.7,"13.4","6.51",0.8552
"otu.2106","1",20.8,"15.5","7.19",0.2332
"otu.2113","2",8.4,"10.3","5.88",0.4393
"otu.2114","1",27.5,"25.8","7.38",0.3321
"otu.2121","2",11.1,"9.4","1.46",0.2827
"otu.2123","3",9.6,"14.9","7.36",0.7175
"otu.2133","2",28.1,"18.9","7.19",0.0998
"otu.2134","2",5,"12.4","6.85",0.9616
"otu.2135","3",15,"18.1","7.78",0.5897
"otu.2138","2",33.3,"12.7","6.56",0.0172
"otu.2141","3",5.9,"11.2","5.3",1
"otu.2142","2",11.1,"9.4","1.46",0.2803
"otu.2148","2",19.2,"14.6","7.36",0.2454
"otu.2149","2",30.5,"26.4","7.8",0.2511
"otu.2150","1",42.2,"32.5","9.81",0.1546
"otu.2151","3",9.5,"11.6","6.47",0.6091
"otu.2159","1",19.3,"23.9","8.5",0.6533
"otu.2160","1",4.6,"10","5.91",1
"otu.2161","3",20.6,"13.7","6.97",0.1538
"otu.2162","3",7.7,"9.4","1.47",1
"otu.2165","3",17.9,"16.4","7.35",0.3347
"otu.2166","3",6.4,"14.1","7.21",0.8676
"otu.2167","2",22.2,"11.7","4.91",0.0712
"otu.2175","3",23.1,"14.7","6.52",0.1072
"otu.2177","2",22.5,"18.2","7.79",0.2198
"otu.2178","3",6,"11.3","5.24",1
"otu.2179","3",7.7,"9.4","1.46",1
"otu.2180","3",7.7,"9.4","1.47",1
"otu.2181","3",7.7,"9.4","1.46",1
"otu.2183","2",4.7,"10.3","5.97",0.8712
"otu.2184","3",7.7,"9.4","1.46",1
"otu.2185","2",12.4,"13.7","6.86",0.4953
"otu.2186","2",25,"22.6","7.55",0.2981
"otu.2187","2",29.5,"15.7","7.44",0.0422
"otu.2189","1",33.8,"19.6","8.6",0.0674
"otu.2190","3",15.4,"11.6","5",0.3163
"otu.2191","3",15.4,"10.9","5.52",0.3217
"otu.2196","2",47.8,"22.4","8.26",0.0132
"otu.2198","3",7.7,"9.4","1.46",1
"otu.2200","1",15.5,"18.2","8.28",0.5109
"otu.2201","2",9.7,"11.2","5.3",0.4351
"otu.2202","3",15.9,"18","8.25",0.4717
"otu.2203","3",7.7,"9.4","1.46",1
"otu.2204","2",4.9,"17.5","8.29",0.9922
"otu.2205","3",38.5,"15.4","7.24",0.019
"otu.2207","3",7.7,"9.4","1.46",1
"otu.2208","2",50.8,"26.4","7.83",0.0112
"otu.2209","2",8.2,"10.5","5.73",0.5327
"otu.2212","3",7.7,"9.4","1.46",1
"otu.2213","3",7.7,"9.4","1.46",1
"otu.2219","1",15.1,"21.1","9.02",0.7249
"otu.2220","1",40.9,"31.8","8.64",0.1342
"otu.2221","1",17.2,"26.4","8.62",0.8976
"otu.2222","2",16.7,"19.4","7.71",0.5515
"otu.2223","3",19.8,"16.4","7.84",0.243
"otu.2224","2",11.1,"9.4","1.46",0.2865
"otu.2225","3",9.7,"14.8","7.3",0.7325
"otu.2228","2",11.1,"9.4","1.46",0.2783
"otu.2229","3",7.7,"9.4","1.46",1
"otu.2230","1",10,"9.4","1.46",0.6037
"otu.2235","1",9.7,"12","4.67",0.7477
"otu.2236","2",22.8,"27.2","8.35",0.6435
"otu.2237","1",7.4,"12.9","6.65",0.7698
"otu.2238","2",10.8,"11.9","4.7",0.4243
"otu.2239","3",7.7,"9.4","1.47",1
"otu.2240","1",10,"9.4","1.47",0.5865
"otu.2241","3",7.7,"9.4","1.46",1
"otu.2242","3",14.5,"16.7","7.44",0.5561
"otu.2245","3",11.7,"12.9","6.57",0.4961
"otu.2246","3",15.4,"10.6","5.71",0.3255
"otu.2247","3",7.7,"9.4","1.47",1
"otu.2248","1",19.7,"17.9","8.37",0.3289
"otu.2249","2",42.3,"15.7","7.59",0.006
"otu.2250","2",47.5,"22.5","7.45",0.0068
"otu.2251","3",15.4,"10.4","5.79",0.3271
"otu.2252","2",27,"23.1","8.83",0.2677
"otu.2253","3",30.8,"15","7.63",0.0572
"otu.2259","2",13.3,"17.4","7.87",0.6119
"otu.2260","1",10,"9.4","1.46",0.5927
"otu.2262","3",6.5,"11.5","4.98",0.8858
"otu.2265","3",7.7,"9.4","1.47",1
"otu.2271","2",42.9,"15.6","7.63",0.0046
"otu.2272","2",14.5,"17.6","7.9",0.5653
"otu.2273","1",16.4,"12.6","6.56",0.3129
"otu.2275","2",11.1,"9.4","1.46",0.2783
"otu.2276","1",20,"11.7","4.81",0.152
"otu.2278","3",5.8,"11.1","5.33",1
"otu.2279","3",12.1,"16.1","7.38",0.6943
"otu.2282","3",6.5,"12.3","6.92",0.8004
"otu.2283","3",7.2,"11.8","4.64",1
"otu.2285","3",7.7,"9.4","1.47",1
"otu.2286","3",7.7,"9.4","1.46",1
"otu.2289","2",35.4,"18.3","8",0.0364
"otu.2290","3",7.7,"9.4","1.47",1
"otu.2291","2",18.1,"16.8","7.51",0.3303
"otu.2292","3",7.7,"9.4","1.47",1
"otu.2293","2",11.1,"9.4","1.46",0.2865
"otu.2295","3",7.7,"9.4","1.47",1
"otu.2301","2",10.5,"12","4.77",0.5369
"otu.2302","2",26.3,"27","8.97",0.4477
"otu.2303","2",18.4,"20","8.77",0.4625
"otu.2304","2",11.1,"9.4","1.46",0.2783
"otu.2305","1",6.7,"10.2","5.69",0.7481
"otu.2306","3",7.7,"9.4","1.46",1
"otu.2309","3",4.6,"10.3","5.84",1
"otu.2311","2",9.3,"10.7","5.39",0.4273
"otu.2312","3",9.1,"12.1","6.53",0.5989
"otu.2313","2",6.4,"15.8","7.6",0.9656
"otu.2315","3",9.4,"11.9","6.4",0.6247
"otu.2317","2",11.1,"9.4","1.46",0.2783
"otu.2321","2",26.2,"18","8.36",0.1406
"otu.2322","1",25.8,"20.4","7.61",0.2026
"otu.2323","2",6.1,"15.7","7.46",0.9678
"otu.2324","1",9.3,"11.9","4.78",0.7516
"otu.2325","3",7.7,"9.4","1.47",1
"otu.2329","3",7.7,"9.4","1.47",1
"otu.2332","1",12.5,"21.4","9.04",0.8536
"otu.2333","3",15.4,"10.5","5.78",0.3263
"otu.2334","2",22.2,"11.5","5.02",0.0732
"otu.2335","3",16.4,"21.7","8.5",0.7249
"otu.2336","2",29.1,"16.6","8",0.0616
"otu.2337","1",24,"15.8","7.59",0.1624
"otu.2338","3",11.2,"13.1","6.61",0.5643
"otu.2339","2",5.6,"10.1","5.99",0.8702
"otu.2342","2",5.7,"10","5.95",0.869
"otu.2348","3",7.7,"9.4","1.47",1
"otu.2349","2",21.3,"20.8","7.9",0.3783
"otu.2350","3",17.8,"13.7","6.76",0.1952
"otu.2351","2",10.7,"11.9","4.78",0.4339
"otu.2355","2",14.6,"19.2","8.3",0.6273
"otu.2356","3",15.4,"11.3","5.28",0.3231
"otu.2357","1",16.3,"21.6","9.06",0.6735
"otu.2358","2",10,"17","7.53",0.7846
"otu.2360","2",11.1,"9.3","1.46",0.2747
"otu.2366","2",11.1,"9.4","1.46",0.2827
"otu.2367","2",27.6,"20.1","8.29",0.1648
"otu.2369","2",13.7,"15.2","7.25",0.4755
"otu.2371","2",11.1,"9.4","1.46",0.2783
"otu.2376","2",8,"12.8","6.54",0.6603
"otu.2377","3",15.4,"11.1","5.39",0.3205
"otu.2378","1",10,"9.3","1.47",0.5749
"otu.2380","3",7.7,"9.4","1.46",1
"otu.2383","3",13.8,"13.7","6.51",0.4371
"otu.2386","2",11.1,"9.4","1.46",0.2815
"otu.2389","1",9.5,"14.6","6.21",0.8208
"otu.2391","2",7.7,"13.6","6.63",0.8156
"otu.2392","3",7.7,"9.4","1.46",1
"otu.2393","3",15.4,"11.5","5.08",0.3195
"otu.2395","2",11.1,"9.3","1.46",0.2747
"otu.2396","3",7.7,"9.4","1.47",1
"otu.2403","1",9.6,"12","4.75",0.6613
"otu.2404","3",30.8,"14.6","7.35",0.0534
"otu.2405","2",14.8,"17.9","8.39",0.5615
"otu.2406","2",41.8,"21.3","8.9",0.032
"otu.2407","3",9.5,"20.2","7.33",0.9996
"otu.2408","2",6.9,"9.9","5.91",0.4299
"otu.2409","2",30.8,"18.4","8.24",0.0536
"otu.2418","3",7.7,"9.4","1.47",1
"otu.2419","2",26,"23.7","9.05",0.3283
"otu.2420","1",5.8,"9.9","5.95",0.782
"otu.2422","3",15.4,"11.7","4.83",0.3137
"otu.2433","2",23,"21.5","7.63",0.3347
"otu.2434","2",22.2,"11.9","4.7",0.072
"otu.2435","3",27.7,"19.4","8.91",0.15
"otu.2436","2",5.8,"9.8","5.85",0.776
"otu.2437","2",11.1,"9.4","1.45",0.2813
"otu.2438","3",7.7,"9.4","1.46",1
"otu.2440","2",11.1,"9.4","1.46",0.2783
"otu.2445","3",7.7,"9.4","1.46",1
"otu.2446","3",14.6,"16.3","7.13",0.5417
"otu.2449","3",7.7,"9.4","1.46",1
"otu.2450","2",7.9,"10.1","5.92",0.4389
"otu.2455","2",22.2,"10.2","5.95",0.076
"otu.2458","1",7.4,"10.3","5.85",0.6659
"otu.2463","2",38.7,"23.2","8.87",0.0654
"otu.2464","1",21.7,"23.2","7.9",0.4975
"otu.2465","1",10,"9.4","1.46",0.5977
"otu.2467","2",11.1,"9.4","1.45",0.2813
"otu.2468","3",7.7,"9.4","1.47",1
"otu.2476","2",8.2,"12.7","6.64",0.6211
"otu.2477","2",9.2,"14.4","7.22",0.7047
"otu.2481","3",7.7,"9.4","1.46",1
"otu.2483","3",7.7,"9.4","1.47",1
"otu.2484","1",24.3,"24.2","7.96",0.4059
"otu.2486","1",27.3,"23.1","8.68",0.2597
"otu.2487","2",18.4,"17.1","8.08",0.3533
"otu.2488","2",22.2,"10","5.95",0.0728
"otu.2489","2",21.8,"14.6","6.4",0.1414
"otu.2493","3",24.5,"23.4","8.17",0.3589
"otu.2494","2",43.7,"16.9","8.1",0.0034
"otu.2495","2",37.9,"16.7","7.37",0.0124
"otu.2496","3",10.1,"18.3","8.22",0.858
"otu.2497","3",7.7,"9.4","1.47",1
"otu.2500","3",28.6,"21.8","7.86",0.1696
"otu.2503","2",15.3,"14.3","7.21",0.4055
"otu.2504","3",17,"13.6","6.67",0.2222
"otu.2505","1",27.2,"27.1","7.5",0.4185
"otu.2506","1",7.9,"13.1","6.52",0.7425
"otu.2507","2",30.1,"16.3","7.75",0.053
"otu.2508","3",24.8,"15.9","7.53",0.1346
"otu.2510","1",12.2,"16.9","7.68",0.6639
"otu.2511","2",22.2,"10","6",0.076
"otu.2514","1",34.5,"16.5","7.42",0.0318
"otu.2515","1",7.2,"10.3","5.98",0.6699
"otu.2518","2",4.6,"10.2","5.86",1
"otu.2519","1",14.8,"19.9","8.06",0.7087
"otu.2522","3",9,"12","6.53",0.6785
"otu.2523","3",6.3,"11.3","5.2",0.8846
"otu.2528","2",27.8,"22.7","8.5",0.2308
"otu.2531","1",6.7,"10.2","5.73",0.752
"otu.2533","1",23,"23.8","8.53",0.4543
"otu.2535","3",11.8,"14.3","7.29",0.6075
"otu.2538","3",8.7,"14","7.04",0.7928
"otu.2539","2",13,"14.4","7.47",0.4437
"otu.2540","3",7.7,"9.4","1.46",1
"otu.2543","3",18.2,"18.5","7.92",0.4347
"otu.2544","2",50.7,"22.2","7.99",0.008
"otu.2545","1",14.6,"17.4","7.12",0.6083
"otu.2546","2",13.2,"17","7.65",0.6003
"otu.2547","3",10.5,"12.3","6.61",0.5663
"otu.2548","2",16.7,"19.7","7.79",0.5837
"otu.2549","1",8.3,"12.5","6.54",0.6285
"otu.2554","3",7.7,"9.4","1.46",1
"otu.2555","3",15.4,"10.9","5.56",0.3239
"otu.2557","3",12.2,"15.4","7.24",0.5833
"otu.2558","3",15.4,"10","6",0.3239
"otu.2559","2",10.1,"11.5","5.12",0.4441
"otu.2564","3",15.4,"10.7","5.75",0.3301
"otu.2569","2",22.2,"10.7","5.46",0.072
"otu.2570","2",29.3,"17.1","7.77",0.075
"otu.2571","3",8.8,"15.8","7.51",0.8378
"otu.2573","3",15.4,"9.9","5.96",0.3155
"otu.2574","1",6,"13.2","6.56",0.9214
"otu.2576","1",10.7,"15.6","7.33",0.7429
"otu.2577","2",6.5,"16.2","7.78",0.9704
"otu.2579","3",15.1,"16.8","7.46",0.4579
"otu.2580","2",11.1,"9.4","1.45",0.2767
"otu.2582","3",12.9,"15.5","7.25",0.5363
"otu.2584","2",11.9,"15.2","7.26",0.6623
"otu.2585","2",17.4,"20","7.36",0.5771
"otu.2586","2",17.5,"15.5","7.28",0.3249
